number of bathrooms,living area,number of floors,waterfront present,number of views,grade of the house,Area of the basement,living_area_renov
2.75,2000,2.0,0,0,7,0,1710
1.75,1850,1.0,0,0,6,580,1270
1.75,1330,1.0,0,0,7,0,1270
1.0,880,1.0,0,0,6,0,1110
1.5,1330,1.0,0,0,7,0,1500
1.0,970,1.0,0,0,7,0,1180
1.0,1000,1.0,0,0,6,0,1490
1.0,1050,1.0,0,0,7,0,1430
1.5,1010,1.0,0,0,7,0,1400
1.0,690,1.0,0,0,5,0,1140
3.25,4250,2.0,0,0,9,0,2830
3.5,5850,2.0,0,2,11,1180,3240
1.5,2680,2.0,0,2,8,800,2280
1.5,1940,1.5,0,2,8,0,2550
3.5,4660,2.0,0,2,11,0,5080
3.5,3770,2.0,0,0,10,940,3200
1.75,3990,2.0,0,0,11,0,5790
2.0,2110,2.0,0,0,7,0,2690
2.25,3310,2.0,0,0,9,0,3830
3.25,3370,2.0,0,0,10,0,2040
4.5,4225,2.0,0,0,11,0,2870
4.5,4380,2.0,1,3,9,660,2460
3.0,2620,2.0,0,0,10,0,1680
3.25,3160,2.0,0,2,10,980,3160
2.25,2370,2.0,0,0,9,0,2380
3.5,3100,1.0,0,4,9,1440,2700
1.0,2550,2.0,0,0,8,180,2200
2.75,2840,1.5,0,0,8,880,2750
3.25,4500,2.0,0,4,8,1500,2780
2.5,3070,2.0,0,0,10,0,3320
1.0,1740,1.0,0,0,8,0,1980
2.5,3920,2.0,0,0,10,0,3639
3.5,4000,2.0,0,0,9,0,3550
2.5,2760,2.0,0,0,7,530,1600
1.5,1840,1.5,0,0,7,500,1840
2.5,2700,1.0,0,0,8,950,2570
2.5,3000,2.0,0,0,9,0,3140
2.5,2980,2.0,0,0,9,0,3150
2.5,2610,2.0,0,0,9,0,2610
2.5,2490,2.0,0,0,9,0,2490
2.5,2770,2.0,0,0,9,0,2910
2.0,2000,1.5,0,2,7,720,1680
1.5,1880,1.0,0,2,8,440,2070
2.75,2210,2.0,0,0,8,0,2230
2.5,2180,1.5,0,0,7,760,1560
2.75,1910,1.0,0,0,7,490,2300
2.75,1850,1.0,0,2,8,0,2470
1.75,1620,1.0,0,0,7,580,1330
2.5,2700,1.0,0,0,8,750,2550
2.5,2690,2.0,0,0,7,0,2690
2.25,2680,1.0,0,0,8,1110,2480
4.0,3570,2.0,0,0,10,710,2230
1.75,1870,1.0,0,0,9,0,2030
2.25,1270,2.0,0,0,8,210,1160
2.75,2720,2.0,0,0,9,0,2830
3.0,2790,1.0,0,3,7,1290,1620
2.75,2890,1.0,0,0,8,1330,1900
2.5,1790,2.0,0,0,8,0,1800
2.5,2070,2.0,0,0,8,0,2120
2.25,1700,1.5,0,0,7,600,1700
2.5,2380,2.0,0,0,8,0,2580
1.75,1670,1.0,0,0,9,0,2330
2.5,1400,3.5,0,0,8,0,1350
0.75,1440,1.0,0,0,7,240,1440
1.75,1900,1.0,0,0,7,0,2030
2.5,2030,2.0,0,0,8,0,1780
2.75,3110,1.0,0,0,8,0,1880
2.25,2140,1.0,0,0,7,1070,1680
2.5,1950,1.5,0,0,7,700,1520
2.5,1860,2.0,0,0,8,0,1850
1.75,1640,1.0,0,2,8,0,2790
1.5,1190,1.0,0,0,7,220,1460
2.5,2420,2.0,0,0,7,0,2420
3.5,2640,2.0,0,0,7,0,2640
1.0,1970,1.0,0,0,7,0,1970
1.5,2330,1.0,0,0,8,1000,2630
2.75,2310,1.0,0,2,8,980,2300
1.0,1380,1.0,0,0,8,500,1390
1.75,2030,1.0,0,0,7,0,1950
1.0,1060,1.5,0,0,6,0,1730
2.5,2320,3.0,0,0,8,0,1240
2.25,2100,1.0,0,0,7,810,1930
1.5,1250,1.0,0,0,7,0,1430
2.5,1590,2.0,0,0,9,0,2320
2.25,2000,2.0,0,0,7,350,2000
2.5,2180,1.0,0,0,7,760,1900
2.25,1350,2.0,0,0,8,300,1250
2.5,2340,2.0,0,0,8,0,1970
2.25,2050,2.0,0,2,8,280,2230
1.75,1500,1.0,0,0,7,0,1500
1.0,900,1.0,0,0,7,0,1320
2.25,1400,2.0,0,0,8,0,2180
2.0,1410,1.0,0,0,7,0,1410
2.5,1800,2.0,0,0,8,0,1580
2.0,2020,1.5,0,0,7,0,1610
1.0,1530,1.0,0,0,7,550,1100
1.0,1010,1.0,0,0,6,0,1010
1.75,1610,1.0,0,0,7,600,1370
1.0,1150,1.0,0,0,7,0,1880
2.25,3040,1.0,0,0,8,1150,1360
2.5,1730,2.0,0,0,8,0,2030
2.5,2000,2.0,0,0,7,0,2000
2.0,1780,1.5,0,0,6,850,1910
1.0,870,1.0,0,0,6,0,990
2.5,1860,2.0,0,0,8,0,2110
1.0,1640,1.5,0,0,6,0,1500
2.0,1900,1.0,0,0,7,700,1900
2.5,1870,2.0,0,0,7,0,1870
1.75,1790,1.0,0,3,9,0,2540
1.0,1110,1.0,0,0,7,0,1780
2.5,1150,3.0,0,0,7,0,1180
1.0,780,1.0,0,0,5,0,1210
2.0,1460,1.0,0,0,7,0,1600
1.0,890,1.0,0,0,6,0,1850
1.75,1230,1.0,0,0,7,0,1250
2.5,1940,2.0,0,0,7,0,1710
1.0,1270,1.0,0,0,7,0,1780
2.25,2460,1.0,0,0,8,0,1630
1.0,770,1.0,0,0,7,0,930
2.5,1670,1.0,0,0,7,370,1490
1.0,2060,1.0,0,0,7,800,1690
1.5,1150,1.0,0,0,6,0,1160
1.0,1120,1.0,0,0,6,0,1270
1.5,1580,1.0,0,0,7,440,1540
2.5,2025,2.0,0,0,7,0,1664
2.5,1720,2.0,0,0,7,0,1720
2.25,1830,2.0,0,0,7,0,1830
2.5,1620,2.0,0,0,7,0,1370
2.25,1640,1.0,0,0,8,460,1600
2.0,1410,1.0,0,0,7,0,1670
2.25,1481,2.0,0,0,7,0,1481
2.0,1570,2.0,0,0,7,0,1550
1.0,1250,1.5,0,0,7,0,1490
1.0,1050,1.0,0,0,7,0,1340
1.0,1230,1.0,0,0,6,0,1230
1.0,1150,1.5,0,0,6,0,1310
2.0,1190,1.0,0,0,7,0,1540
1.0,1320,1.0,0,0,7,0,1320
0.75,930,1.0,0,0,6,0,2000
1.0,1090,1.0,0,0,6,0,1090
1.0,890,1.0,0,0,6,0,1260
3.0,4480,2.5,0,0,12,1060,3220
2.25,3250,2.0,0,0,9,0,2890
3.0,4040,1.0,0,0,9,2020,2990
3.0,2480,2.0,0,3,10,750,2950
3.5,3190,2.0,0,3,10,1030,2390
3.0,3760,2.5,0,3,10,700,2610
2.5,2490,2.0,0,0,8,820,2310
3.5,3990,2.0,0,0,10,0,3230
3.5,3450,2.0,0,0,10,0,3220
3.5,3320,1.0,0,2,10,1280,3240
3.75,3460,2.0,0,0,11,0,3340
1.75,2450,2.0,0,0,8,700,1760
3.5,4040,2.0,0,0,11,0,3770
3.5,3370,2.0,0,2,8,900,1820
2.75,4230,2.0,0,0,10,0,4080
2.5,3230,1.0,0,0,9,1360,2670
2.5,3060,2.0,0,0,9,0,3240
2.0,2270,1.0,0,0,9,0,2880
2.75,2620,1.0,0,2,8,1310,1900
2.75,2600,1.5,0,2,8,1000,2260
1.75,2080,1.0,0,0,7,0,1870
2.5,2990,2.0,0,0,11,0,3340
3.25,3060,2.0,0,0,10,760,2920
2.75,2850,1.0,0,0,9,930,3300
2.5,2660,1.0,0,0,7,0,2640
2.5,1980,1.0,0,0,7,0,2040
2.75,2880,1.5,0,0,9,780,2110
2.75,1750,1.5,0,0,8,0,1700
3.0,3110,1.5,0,0,7,1300,1600
3.25,3740,2.5,0,0,11,640,2400
2.75,2590,2.0,0,0,10,0,2850
3.5,2720,2.0,0,0,8,860,2430
2.5,2770,2.0,0,0,9,0,2270
1.5,1490,1.5,0,0,7,0,1560
2.5,2670,2.0,0,0,9,0,2430
1.75,1950,1.0,0,3,6,790,1780
1.75,3320,1.5,0,3,8,1060,2960
2.5,2480,1.5,1,3,8,0,2350
2.0,1480,1.0,0,0,7,620,1660
1.0,1210,1.0,0,1,8,0,1580
2.0,1660,1.0,0,0,7,690,1560
1.75,2430,2.0,0,0,7,670,1320
3.5,3600,2.0,0,0,8,860,3150
2.0,2460,1.0,0,0,8,0,2500
2.5,3240,2.0,0,0,8,330,2990
1.75,1720,1.0,0,0,8,300,2210
3.0,3690,1.0,0,2,9,1000,2590
1.75,2110,1.0,0,0,8,0,2110
1.75,2085,1.0,0,0,7,475,2690
2.5,2480,1.0,0,0,7,970,1770
3.0,3640,2.0,0,0,8,0,3740
2.5,2150,2.0,0,0,8,0,2150
3.0,2410,2.0,0,2,7,0,2610
2.0,2330,2.5,0,0,8,0,2030
2.75,3030,2.0,0,0,8,0,3030
3.5,1590,3.0,0,0,8,0,1620
1.75,1440,1.0,0,0,8,0,2190
1.75,1520,1.0,0,0,8,0,2310
1.75,1240,1.0,0,0,7,0,1800
2.5,1730,1.0,0,0,7,520,1870
2.5,2550,1.0,0,0,7,1250,2080
2.75,2830,1.5,0,0,7,0,1700
1.5,1530,1.0,0,0,7,0,1800
1.75,840,1.0,0,0,6,140,1700
1.5,1370,2.0,0,0,8,290,1560
1.5,1770,2.0,0,0,7,0,970
2.5,2160,1.0,0,0,7,770,2190
1.5,2120,1.0,0,0,8,900,1620
2.5,2250,2.0,0,0,8,0,1980
2.75,2110,1.0,0,0,7,600,1660
2.5,2370,2.0,0,0,8,0,2130
2.0,2100,2.0,0,0,8,0,1450
1.75,1444,1.5,0,0,7,0,1760
1.0,1170,1.0,0,0,8,0,2410
2.5,2490,2.5,0,0,8,0,2640
2.5,2220,2.0,0,0,7,0,1840
1.0,620,1.0,0,0,6,0,1290
3.0,3060,2.0,0,0,8,0,3060
3.25,1370,2.0,0,0,8,270,1370
2.5,3200,1.0,0,0,8,1590,2030
1.5,2380,1.0,0,0,7,530,1830
2.0,2280,1.5,0,0,6,0,1790
1.75,1940,1.5,0,0,7,0,2300
1.5,2450,1.0,0,0,7,0,1560
1.5,1400,1.0,0,0,6,0,1260
2.75,2530,1.0,0,0,8,1250,2280
2.5,2580,2.0,0,0,8,0,2900
2.25,1780,2.0,0,0,8,0,1780
1.0,950,1.0,0,0,7,0,1180
2.5,1769,2.0,0,0,9,0,2502
3.0,1930,1.0,0,0,7,730,1930
1.0,1750,1.0,0,0,7,600,1750
1.0,950,1.0,0,2,7,0,1620
2.0,1550,1.5,0,0,7,0,2300
2.5,1940,1.0,0,0,8,800,1920
2.5,2430,2.0,0,0,8,0,2890
1.75,1530,1.5,0,0,7,0,1530
2.25,1780,1.0,0,0,8,0,2080
1.0,930,1.0,0,0,6,0,1250
2.25,2260,2.0,0,0,7,0,1720
1.0,1010,1.0,0,0,7,0,1890
2.25,2070,2.0,0,0,8,0,2080
1.75,1580,1.0,0,0,7,0,1580
2.25,2600,1.0,0,0,7,1000,1770
1.0,1780,1.0,0,3,9,0,1780
2.5,1650,2.0,0,0,7,0,1850
1.5,1090,1.0,0,0,7,0,1260
2.0,1470,1.0,0,0,7,0,1390
2.0,2080,1.0,0,0,7,340,1510
1.0,1640,1.0,0,0,7,550,1550
1.0,1230,1.5,0,0,7,0,1020
2.0,1900,1.0,0,0,7,0,1900
2.5,1630,1.0,0,0,7,510,1640
1.0,1140,1.0,0,0,6,0,1690
1.0,1200,1.5,0,0,7,0,1130
2.0,1330,1.0,0,0,5,0,1150
2.5,2500,1.0,0,0,7,1200,2120
1.0,1060,1.0,0,0,7,0,1310
1.75,1590,1.0,0,0,7,0,1750
2.0,1700,1.0,0,0,6,730,1560
1.5,1600,1.0,0,0,7,0,1540
1.75,1500,1.0,0,0,6,0,1320
1.5,1660,2.0,0,0,7,0,1660
1.0,1090,1.5,0,0,5,0,1170
1.75,1390,1.0,0,0,8,0,1390
1.0,720,1.0,0,0,6,0,2300
1.0,920,1.0,0,0,6,0,1280
1.75,1260,1.0,0,0,7,0,1800
1.5,1220,1.0,0,0,7,0,1660
1.75,1570,1.0,0,0,7,490,1250
1.0,1310,1.0,0,0,7,350,1310
4.5,6640,2.0,0,0,12,0,4620
3.0,3900,1.0,0,4,10,1380,3410
2.75,3650,2.0,0,0,9,900,2900
4.25,4390,2.0,0,3,10,1070,3850
2.25,1670,1.5,0,3,8,0,2300
2.75,3610,2.0,0,0,9,0,2360
2.5,3260,1.5,0,1,8,950,2390
2.25,3190,2.0,0,0,10,890,2990
3.0,2630,2.0,0,0,9,0,2880
3.0,2370,1.5,0,0,7,720,2140
2.25,1490,2.0,0,0,9,450,1490
2.5,3580,1.5,0,0,9,0,3090
1.5,1200,1.0,0,0,8,170,2810
1.5,1640,1.5,0,0,7,100,1880
2.5,2440,2.0,0,0,9,0,2030
2.5,1660,2.0,0,2,9,260,1820
2.75,3190,2.0,0,0,10,0,2850
2.25,2400,1.5,0,0,7,1150,1540
1.0,1110,1.0,0,0,7,0,1170
2.5,2610,2.0,0,0,10,0,3060
2.5,2500,1.0,0,0,7,1010,1960
2.5,2540,2.0,0,0,9,0,2560
2.5,2770,2.0,0,0,9,0,2770
1.75,2420,1.0,0,0,8,540,2780
3.25,2310,2.0,0,0,8,580,2310
1.75,1960,1.0,0,0,7,980,1480
2.5,2710,2.0,0,0,9,0,2710
3.5,4150,2.0,0,0,10,0,3618
1.75,2860,1.0,0,0,8,1150,2460
0.75,840,1.0,1,4,6,0,1850
1.75,1890,1.5,0,0,7,800,1610
1.25,1100,3.0,0,0,9,0,1110
1.5,1200,3.0,0,0,8,0,1240
1.5,1520,1.0,0,0,7,0,1440
1.0,1440,1.5,0,0,7,0,1490
2.5,2230,2.0,0,0,8,0,2190
2.75,2790,2.0,0,0,8,0,2620
1.0,1500,1.0,0,0,7,0,2050
2.5,2990,2.0,0,0,9,0,2740
2.5,3060,2.0,0,0,9,0,3040
2.25,2020,1.0,0,0,7,640,2030
2.5,2110,1.0,0,0,8,820,2740
3.0,2530,2.0,0,0,7,0,1420
2.75,2300,1.0,0,3,8,750,2130
1.0,1320,1.0,0,0,7,0,1290
1.0,1050,1.0,0,0,7,200,1080
2.5,2432,2.0,0,2,9,0,2912
1.0,1520,1.5,0,3,8,0,2640
2.25,2300,1.0,0,0,7,920,2010
1.75,2410,1.0,0,0,8,550,2750
2.5,1060,2.0,0,0,8,0,1220
2.75,2600,1.5,0,0,8,0,1740
2.0,1400,2.0,0,0,8,0,2390
1.0,2710,2.0,0,3,7,0,2150
2.5,2570,2.0,0,0,9,0,2590
1.0,1170,1.0,0,0,6,370,1590
2.5,3000,2.0,0,0,7,0,1890
2.5,1890,2.0,0,0,8,0,2250
2.25,1330,2.0,0,0,8,0,1390
1.75,2040,1.0,0,0,8,0,1950
1.75,2330,1.0,0,0,7,1150,1690
1.75,1780,1.0,0,0,7,500,1780
1.75,2440,1.0,0,0,8,830,2180
2.75,2400,2.0,0,0,8,0,2400
2.5,2570,2.0,0,0,8,0,2570
4.0,3120,2.0,0,2,7,1030,1460
1.5,1590,1.0,0,0,7,0,1590
1.0,700,1.0,0,0,7,0,1340
2.0,1350,3.0,0,0,7,0,1390
1.0,910,1.0,0,0,6,0,1240
1.0,690,1.0,0,0,6,0,1650
2.5,1630,1.0,0,0,8,310,1650
1.0,720,1.0,0,0,6,0,1690
1.0,700,1.0,0,0,7,0,1440
1.75,1650,1.0,0,0,7,0,1470
2.25,1715,2.0,0,0,7,0,2238
2.5,1720,2.0,0,0,8,0,1720
3.0,1670,1.0,0,0,7,0,1670
1.75,1400,1.0,0,0,7,0,1400
1.75,1950,1.0,0,0,7,0,1820
1.5,1170,2.0,0,0,8,100,1360
1.0,1390,1.0,0,0,7,0,1390
1.75,1010,1.0,0,0,7,0,1320
1.75,1110,2.0,0,0,8,0,1420
1.0,910,1.0,0,0,7,0,1160
1.75,1220,1.0,0,0,6,0,1510
1.0,940,1.0,0,0,7,0,940
1.0,970,1.0,0,0,6,0,970
1.0,1020,1.0,0,0,6,0,1200
1.0,900,1.0,0,0,6,0,940
1.0,810,1.0,0,0,6,0,820
1.0,1060,1.0,0,0,7,0,1320
4.25,2820,2.0,0,0,10,360,3300
4.25,3500,1.0,0,4,9,1360,3110
2.5,2190,1.0,0,0,8,760,2580
1.0,1050,1.0,0,0,7,170,1620
2.5,3130,2.0,0,0,9,0,2760
2.5,2670,1.5,0,0,7,1050,1610
2.5,1700,1.0,0,0,8,540,1590
1.5,1500,1.5,0,0,7,360,1500
1.0,1200,1.0,0,0,7,0,1250
1.75,1700,1.0,0,0,7,500,1900
1.0,1370,1.0,0,0,7,0,1370
1.0,1040,1.0,0,0,6,0,1520
1.75,1910,2.0,0,0,8,0,1470
2.25,2120,2.0,0,0,9,0,3280
1.0,840,1.0,0,2,7,0,2000
2.75,2950,1.0,0,0,8,830,2840
3.5,1360,2.0,0,0,8,120,1360
2.0,1610,1.0,0,0,7,0,1610
2.75,2130,1.0,0,0,7,830,2130
1.0,1800,1.0,0,0,7,0,1230
3.75,4350,2.0,0,0,10,0,2190
4.25,4830,2.5,0,2,11,1120,4470
3.5,5000,2.0,0,3,10,1590,3360
3.25,4390,2.0,0,0,10,0,2160
2.5,2680,1.0,1,4,9,1090,2960
1.75,2200,1.5,0,1,8,0,2850
2.0,2120,2.0,0,0,9,0,2090
3.0,3790,2.0,0,0,10,980,2500
2.75,3330,2.0,0,0,10,0,2390
1.75,2010,1.0,0,2,8,400,3290
3.25,3530,2.0,0,0,10,0,2470
2.5,3670,2.5,0,0,10,0,3130
2.5,1780,2.0,0,0,9,0,2320
2.75,2520,1.0,0,3,8,950,2760
2.5,3560,3.0,0,0,8,0,3220
2.75,3220,1.5,0,0,9,900,2310
1.5,1800,1.5,0,0,8,0,1800
2.5,2650,2.0,0,0,8,820,1870
2.5,3500,2.0,0,0,9,0,3920
3.0,2870,1.0,0,0,7,920,1730
2.5,3300,2.0,0,0,8,0,3030
2.25,2500,1.5,0,0,7,980,1410
2.5,3350,2.0,0,0,8,800,2340
2.0,1890,1.0,0,0,7,420,2580
2.25,2070,1.5,0,0,8,0,2070
2.25,1720,1.0,0,0,7,500,1720
1.5,2750,1.0,0,0,7,1250,1470
2.5,1460,2.0,0,0,8,280,1460
1.0,1580,1.0,0,0,7,400,1560
2.25,1980,2.0,0,0,8,0,2100
2.5,2600,2.0,0,0,8,0,2600
3.0,3720,3.0,0,0,7,0,2020
1.75,2120,1.0,0,0,8,480,2310
2.25,2090,1.0,0,0,7,650,1740
2.25,1470,2.0,0,0,7,0,1610
3.0,2330,2.0,0,0,9,410,2330
3.0,2440,2.0,0,0,8,550,2380
1.75,3600,2.0,0,0,6,1200,2290
2.5,1220,2.0,0,0,8,210,1360
2.5,2960,2.0,0,0,9,0,2570
2.25,2070,1.0,0,0,8,600,2140
1.5,1190,1.0,0,0,7,200,1410
2.5,3180,1.0,0,0,8,1370,1950
2.5,2290,2.0,0,0,8,0,2290
2.0,1880,1.0,0,0,7,910,1670
2.0,1090,3.0,0,0,8,0,1090
1.75,1510,1.0,0,0,8,0,1350
1.5,1010,1.0,0,0,7,0,1230
3.25,2820,1.5,0,0,7,500,1560
1.0,870,1.0,0,0,7,0,1100
2.5,2570,2.0,0,0,8,0,2150
1.75,1300,1.0,0,0,7,0,1450
2.5,2700,2.0,0,0,8,0,2350
1.0,1320,1.0,0,0,7,0,1160
2.75,2140,2.0,0,0,8,0,1920
2.25,1370,3.0,0,0,8,0,1370
1.0,960,1.0,0,0,7,0,1250
1.0,970,1.0,0,0,6,0,1650
2.5,2280,2.0,0,0,7,0,2910
2.5,2230,2.0,0,0,7,0,1970
2.5,2340,2.0,0,0,9,0,2250
2.25,2310,2.0,0,0,8,0,1960
1.0,1010,1.0,0,0,7,0,1400
1.0,960,1.0,0,0,6,0,1160
2.5,1760,1.5,0,0,7,0,2160
2.25,1830,2.0,0,0,7,0,1870
2.0,1860,1.0,0,0,8,600,1250
2.0,1360,1.0,0,0,6,400,1930
1.75,1410,2.0,0,0,7,0,1560
1.0,1320,1.0,0,0,6,380,1970
2.0,1440,1.0,0,0,7,0,1390
1.0,950,1.0,0,0,7,0,1260
2.75,1300,1.0,0,0,7,440,1550
1.5,1068,2.0,0,0,7,0,1078
1.0,900,1.0,0,0,6,0,1360
1.0,1200,2.0,0,0,7,0,2150
1.0,930,1.0,0,0,6,0,1300
5.5,7050,1.0,0,2,13,2730,5070
2.25,3530,1.0,1,3,9,1690,3530
4.75,3970,2.0,0,2,11,580,3970
2.75,3770,2.0,0,2,9,700,3000
3.25,3140,2.0,0,3,10,900,2950
2.75,2970,1.5,0,1,7,840,1980
3.5,4270,2.0,0,3,10,1100,3100
2.75,2630,2.0,0,0,9,120,1540
3.5,3400,2.5,0,0,10,610,2030
2.5,3340,2.0,0,0,10,0,1770
3.25,3350,2.0,0,0,8,840,1620
2.75,3890,2.0,0,1,8,630,2490
2.5,4570,2.0,0,2,11,0,4490
3.5,3770,2.0,0,0,10,0,1520
1.0,1640,1.5,0,0,6,140,2190
1.75,2130,1.5,0,0,8,0,1900
1.5,2550,2.0,0,0,10,0,1970
5.5,5190,2.0,0,2,11,0,3840
3.5,4080,2.0,0,0,9,0,3920
3.5,3840,2.0,0,0,9,0,3570
3.25,4350,1.0,0,0,9,2150,2180
2.75,3990,2.0,0,0,9,0,3500
2.25,2880,2.0,0,0,10,0,2920
2.25,2500,2.0,0,0,9,0,2630
3.5,3830,2.0,0,0,10,300,2920
2.5,3290,2.0,0,0,8,0,2990
2.25,2130,1.5,0,4,7,600,2130
2.5,2840,1.0,0,0,9,1060,2840
1.75,1860,2.0,0,2,8,0,3030
2.5,2375,2.0,0,0,9,0,2095
2.5,2620,2.0,0,0,9,0,2620
2.0,2500,1.5,0,0,7,820,1550
2.5,2600,2.0,0,0,7,0,1790
2.0,2570,1.0,0,0,9,600,3070
2.5,3350,2.0,0,0,10,0,3350
2.25,1540,3.0,0,0,9,0,1410
2.5,2390,2.0,0,0,8,170,2150
3.0,2130,1.0,0,0,7,690,1240
1.75,1700,1.0,0,0,8,0,1480
2.5,2510,2.0,0,0,10,0,3080
2.25,2980,1.0,0,0,9,1400,2310
1.0,910,1.5,0,0,6,0,1190
2.5,1820,2.0,0,0,8,0,2710
2.0,1410,1.0,0,0,7,500,1330
1.0,1630,1.5,0,0,7,0,1220
2.5,2200,2.0,0,2,9,0,2200
2.5,2590,2.0,0,0,9,0,2660
1.0,1410,1.5,0,0,7,0,1040
2.5,2440,2.0,0,0,9,0,2590
2.5,1530,1.5,0,0,7,520,1330
1.75,2050,1.0,0,0,8,650,1740
2.5,2180,1.0,0,0,7,1000,1840
1.75,1420,1.5,0,0,7,0,1490
2.5,3660,2.0,0,2,9,400,2700
2.5,1160,2.0,0,0,8,120,1650
2.5,2010,2.0,0,0,8,0,1970
1.0,1050,1.0,0,0,7,0,1340
1.75,1750,2.0,0,0,7,0,1170
1.75,1990,1.0,0,0,8,800,1930
2.75,2200,1.0,0,0,8,1100,2140
2.25,1600,2.0,0,0,8,0,2320
1.0,950,1.0,0,2,7,100,1670
3.25,3130,2.0,0,0,8,950,2410
2.75,2910,2.0,0,0,8,0,2790
2.25,2440,2.0,0,0,8,350,2150
1.75,1430,2.0,0,0,7,0,1640
2.25,1710,2.0,0,0,7,0,1680
2.25,1640,2.0,0,0,8,0,1780
3.0,2890,1.0,0,0,7,1300,2180
2.5,1450,2.0,0,0,8,510,1410
1.0,1250,1.0,0,0,7,400,1370
1.75,1110,1.0,0,0,7,0,1800
1.75,1400,1.0,0,0,8,0,2200
2.5,2280,2.0,0,0,8,0,2280
2.5,2530,2.0,0,0,9,0,2450
1.5,1550,1.0,0,0,7,370,1450
2.5,2300,2.0,0,0,7,0,1770
1.5,1300,1.0,0,0,7,0,1590
2.5,1950,2.0,0,0,7,0,2190
2.5,2530,2.0,0,0,8,0,2530
1.0,1580,1.5,0,2,7,0,1700
1.0,800,1.0,0,0,6,0,1310
2.0,1240,1.0,0,0,7,240,1330
2.5,2701,2.0,0,0,9,0,2570
2.25,3740,1.5,0,0,8,1500,2040
1.75,1040,1.0,0,0,7,0,1750
1.75,2530,1.0,0,0,7,730,2460
1.0,860,1.0,0,0,7,0,1130
3.5,2080,2.0,0,0,8,0,2080
2.0,1270,1.0,0,0,7,0,1660
1.0,1080,1.0,0,0,6,0,1730
2.25,1460,3.0,0,0,8,0,1490
2.5,1050,2.0,0,0,8,100,1350
2.5,1680,1.0,0,0,7,600,1390
1.75,2550,1.0,0,0,7,1250,2220
2.5,1830,2.0,0,0,7,0,1830
2.0,2050,1.0,0,0,8,0,2180
1.0,1150,1.5,0,0,7,0,1210
2.25,1660,2.0,0,0,7,0,1680
2.75,2090,1.0,0,0,8,750,2150
2.5,2303,2.0,0,0,8,0,2516
1.0,1090,1.0,0,0,7,0,1090
0.75,370,1.0,0,0,5,0,1340
2.5,1970,2.0,0,0,7,0,1970
1.0,770,1.0,0,0,6,0,990
2.25,1920,1.0,0,0,7,620,1500
2.0,1190,1.5,0,0,6,0,1680
2.0,1770,1.0,0,0,7,0,1510
1.5,1620,1.0,0,0,7,0,1610
1.75,1400,1.0,0,0,7,0,1660
1.75,1170,1.0,0,0,7,0,1180
1.0,590,1.0,0,0,7,0,780
1.0,900,1.0,0,0,6,0,1767
1.0,1200,1.0,0,0,7,0,1210
1.0,820,1.0,0,0,5,0,780
6.25,8020,2.0,0,0,11,0,4160
2.5,4080,2.0,0,2,11,0,4080
3.25,4040,1.0,0,0,9,0,3000
3.5,4660,2.0,0,4,10,1620,2980
2.5,3180,2.0,0,4,10,570,3760
1.75,2610,1.0,0,0,8,0,2920
2.5,3280,1.0,0,0,10,1600,1550
3.5,3390,2.0,0,0,9,780,3350
1.75,1440,1.0,0,0,8,0,3520
4.5,3830,3.0,0,0,9,780,1990
4.5,3850,2.0,0,0,10,730,2630
2.25,1950,1.0,0,0,8,620,2600
1.75,1880,1.5,0,0,7,0,2090
3.25,3760,2.0,0,0,9,1210,2960
3.0,2470,2.0,0,0,8,610,2390
2.5,2890,2.0,0,0,9,0,3300
1.5,1570,1.5,0,2,7,250,2140
1.0,1500,1.0,0,0,8,400,1980
3.75,2670,2.5,0,4,8,650,2010
2.25,2430,1.5,0,0,8,800,2430
3.0,3550,1.5,0,0,10,1370,3170
2.5,2490,2.0,0,0,9,0,2900
1.5,1760,2.0,0,0,8,0,1760
2.25,2900,1.0,0,0,8,1450,2310
2.5,2950,1.5,0,0,7,1230,2200
2.0,2090,1.0,0,0,7,0,2090
1.75,2270,1.0,0,0,7,900,2270
2.5,2190,1.0,0,0,8,780,2190
3.0,1820,3.0,0,0,8,280,1720
2.25,2080,1.0,0,0,8,550,2320
2.25,2940,1.0,0,0,7,1420,2470
2.0,2190,1.0,0,0,7,1080,1660
3.5,2500,2.0,0,0,8,690,2060
2.25,1900,1.5,0,0,8,700,1310
1.75,2680,1.0,0,0,8,1090,2620
2.0,1660,1.5,0,0,7,0,1660
2.5,2280,2.0,0,0,8,400,2280
2.5,1840,1.0,0,0,9,0,2730
2.75,2160,1.0,0,0,7,730,1770
2.0,1340,1.5,0,0,7,0,1630
2.25,1320,2.0,0,0,7,0,2010
1.75,2330,1.0,0,0,7,940,1850
1.75,1530,1.0,0,1,7,700,1280
1.75,1490,2.0,0,0,10,400,1460
2.25,2570,1.0,0,1,8,1100,2570
1.75,1540,1.0,0,2,7,770,1420
1.0,900,1.0,0,0,7,0,1230
3.0,3700,2.0,0,0,9,0,2130
2.5,1540,2.0,0,0,8,0,1540
2.25,1550,2.0,0,0,8,0,1620
2.0,1470,1.0,0,0,8,0,1480
2.5,2160,2.0,0,0,7,0,2460
2.5,2040,2.0,0,0,7,0,2040
2.5,1850,2.0,0,0,7,0,1540
2.0,2100,1.0,0,0,7,1050,1470
2.75,2620,2.0,0,0,8,0,2790
2.0,1660,1.0,0,0,7,400,1660
2.5,1900,2.0,0,0,8,0,2650
